Column_or_Row_Name,Unit,Definition,Data_Type
Pump,N/A,"Pump status: 0=off, 0.5=min, 1=low, 2=med, 3=high",numeric
Tchp_pwm,V,Chopper temp PWM in V,numeric
Txchg_pwm,V,Heat exchanger temp PWM in V,numeric
diag_20v,V,20v V test point,numeric
diag_5_4v,V,5.4v V test point,numeric
diag_12v,V,12v V test point,numeric
diag_5va,V,5va V test point,numeric
diag_3_3vf,V,3.3vf V test point,numeric
AccH2O_hum,mg,Added H2O (mg) from humidifier,numeric
AccCO2_soda,mg,Absorbed CO2 (mg) by soda lime,numeric
CO2_hrs,hrs,CO2 cartridge hours,numeric
AccH2O_des,mg,Absorbed H2O (mg) by desiccant,numeric
ADC_CH1,V,Spare channel 1,numeric
ADC_CH2,V,Spare channel 2,numeric
ADC_CH3,V,Spare channel 3,numeric
ADC_CH4,V,Spare channel 4,numeric
ADC_CH5,V,Spare channel 5,numeric
ADC_CH6,V,Spare channel 6,numeric
ADC_CH7,V,Spare channel 7,numeric
ADC_CH8,V,Spare channel 8,numeric
DAC_1,V,D/A setting (-5 to +5V),numeric
DAC_2,V,D/A setting (-5 to +5V),numeric
DAC_3,V,D/A setting (-5 to +5V),numeric
DAC_4,V,D/A setting (-5 to +5V),numeric
GPIO,N/A,GPIO status channels 8 through 1,numeric
GPIO_dir,N/A,GPIO direction channels 8 through 1,numeric
excit_5v,N/A,5 V excitation line,numeric
power_12v,N/A,12 V power,numeric
power_5v,N/A,5 V power,numeric
ch1_pullup,N/A,Pullup resistor for ADC_CH1,numeric
AuxPower,V,Auxillary power setting (of leaf chamber),numeric
MatchValveR,%,Reference match value position,numeric
MatchValveS,%,Sample match value position,numeric
MatchCO2,µmol mol-1,CO2 match adjustment value,numeric
MatchH2O,mmol mol-1,H2O match adjustment value,numeric
cf_co2_a,mmol mol-1,CO2 match coeff a,numeric
cf_co2_b,N/A,CO2 match coeff b,numeric
cf_co2_c,N/A,CO2 match coeff c,numeric
cf_co2_d,N/A,CO2 match coeff d,numeric
cf_h2o_a,mmol mol-1,H2O match coeff a,numeric
cf_h2o_b,N/A,H2O match coeff b,numeric
cf_h2o_c,N/A,H2O match coeff c,numeric
cf_h2o_d,N/A,H2O match coeff d,numeric
co2_fit_low,µmol mol-1,CO2 range match fit upper limit,numeric
co2_fit_high,µmol mol-1,CO2 range match fit lower limit,numeric
h2o_fit_low,mmol mol-1,H2O range match fit upper limit,numeric
h2o_fit_high,mmol mol-1,H2O range match fit lower limit,numeric
co2_elapsed,min,Elapsed time since CO2 match,numeric
h2o_elapsed,min,Elapsed time since H2O match,numeric
CO2_f,V,CO2 injector flow,numeric
CO2_f_s,V,CO2 injector status,numeric
Pump_f,V,Pump flow,numeric
Pump_f_s,V,Pump status,numeric
Pump_p,V,Pump pressure flow,numeric
Pump_p_s,V,Pump pressure status,numeric
Tboard,°C,Console board temperature,numeric
V_system,V,System voltage,numeric
DIAG,N/A,Head diagnostic value. Normal = 2 or 3,numeric
Flow_s,µmol s-1,Sample cell flow  ,numeric
Flow_r,µmol s-1,Reference cell flow  ,numeric
Txchg,°C,Heat exchanger temperature,numeric
Tirga,°C,IRGA block temperature,numeric
Tchopper,°C,IRGA chopper temperature,numeric
Ts,°C,A cell inlet temperature,numeric
Tr,°C,B cell inlet temperature,numeric
CO2_%,%,CO2 injector amount on,numeric
Desiccant_%,%,Desiccant valve position,numeric
Humidifier_%,%,Humidifier valve position,numeric
Txchg_sp,°C,Heat exchange algorithmic setpoint,numeric
CO2_r_sp,µmol mol-1,CO2 mixer algorithmic setpoint,numeric
H2O_r_sp,mmol mol-1,H2O algorithmic setpoint,numeric
SS_s,%,Sample cell signal strength,numeric
SS_r,%,Reference cell signal strength,numeric
Custom,mol m-2 s-1,1-sided BLC,numeric
Geometry,N/A,Used for boundary layer conductance (BLC),numeric
K,N/A,Stomatal ratio,numeric
S,cm2,Leaf area,numeric
